Date,Open,High,Low,Close,Adj Close,Volume
2015-10-15,1295.300049,1305.000000,1288.150024,1294.699951,1263.383667,1243950
2015-10-16,1295.000000,1315.800049,1283.599976,1314.500000,1282.704834,1781314
2015-10-19,1320.000000,1322.000000,1302.449951,1315.349976,1283.534302,2824598
2015-10-20,1311.099976,1316.400024,1302.650024,1312.500000,1280.753174,2544760
2015-10-21,1307.099976,1320.000000,1305.650024,1315.750000,1283.924683,1040974
2015-10-23,1315.750000,1344.000000,1315.750000,1337.900024,1305.538818,2128869
2015-10-26,1347.500000,1350.000000,1303.400024,1312.699951,1280.948364,4866457
2015-10-27,1304.900024,1304.900024,1271.800049,1275.099976,1244.257813,4779913
2015-10-28,1275.000000,1284.550049,1255.449951,1266.599976,1235.963379,2978759
2015-10-29,1266.000000,1285.650024,1258.550049,1264.650024,1234.060669,3915267
2015-10-30,1266.099976,1273.550049,1246.449951,1256.849976,1226.449219,2116210
2015-11-02,1252.000000,1267.000000,1213.000000,1221.050049,1191.515381,3337082
2015-11-03,1230.000000,1233.349976,1215.000000,1221.400024,1191.856812,2624731
2015-11-04,1228.750000,1236.000000,1215.000000,1220.150024,1190.637085,1258178
2015-11-05,1220.000000,1224.800049,1200.550049,1205.849976,1176.682861,2416892
2015-11-06,1207.199951,1224.500000,1202.250000,1205.400024,1176.243652,1645873
2015-11-09,1180.000000,1203.300049,1177.650024,1190.750000,1161.948120,3374264
2015-11-10,1184.199951,1185.699951,1168.550049,1171.349976,1143.017334,1260441
2015-11-13,1171.349976,1181.250000,1157.550049,1178.750000,1150.238403,1892688
2015-11-16,1170.099976,1189.949951,1157.800049,1178.400024,1149.896851,2208132
2015-11-17,1190.199951,1203.949951,1184.000000,1200.750000,1171.706177,1926695
2015-11-18,1199.000000,1202.500000,1176.000000,1178.699951,1150.189575,1823920
2015-11-19,1187.250000,1217.000000,1184.500000,1214.199951,1184.830811,2607107
2015-11-20,1216.000000,1222.199951,1200.000000,1205.750000,1176.585327,2659599
2015-11-23,1210.000000,1211.000000,1184.099976,1191.150024,1162.338501,2241804
2015-11-24,1191.150024,1224.500000,1189.650024,1218.949951,1189.465942,3758223
2015-11-26,1218.949951,1231.949951,1216.000000,1222.650024,1193.076538,2264979
2015-11-27,1225.099976,1242.150024,1215.800049,1230.599976,1200.834229,1851264
2015-11-30,1223.500000,1229.400024,1204.349976,1218.500000,1189.026855,6102193
2015-12-01,1218.949951,1228.150024,1213.550049,1224.699951,1195.076782,2065617
2015-12-02,1221.300049,1233.300049,1206.099976,1211.750000,1182.440186,1513305
2015-12-03,1207.349976,1208.900024,1198.050049,1200.199951,1171.169556,1577703
2015-12-04,1190.000000,1192.650024,1169.500000,1171.599976,1143.261230,2898773
2015-12-07,1176.300049,1187.900024,1175.050049,1184.599976,1155.946899,2494804
2015-12-08,1178.900024,1178.900024,1169.500000,1171.550049,1143.212646,2988127
2015-12-09,1166.250000,1170.400024,1150.000000,1153.250000,1125.355103,1705547
2015-12-10,1155.000000,1185.000000,1154.000000,1182.300049,1153.702637,2489849
2015-12-11,1185.000000,1188.000000,1162.199951,1174.750000,1146.335205,2219575
2015-12-14,1156.050049,1195.000000,1156.050049,1188.050049,1159.313477,2052379
2015-12-15,1184.349976,1209.500000,1180.800049,1206.550049,1177.365967,2628140
2015-12-16,1211.000000,1222.800049,1209.199951,1219.300049,1189.807617,1910248
2015-12-17,1220.000000,1243.849976,1209.500000,1240.949951,1210.933838,1921688
2015-12-18,1247.900024,1247.900024,1220.550049,1224.849976,1195.223145,2755208
2015-12-21,1218.199951,1240.000000,1218.199951,1232.349976,1202.541870,2178186
2015-12-22,1233.699951,1237.000000,1221.500000,1228.250000,1198.541138,1549227
2015-12-23,1233.000000,1242.000000,1231.500000,1239.199951,1209.226196,1327248
2015-12-24,1243.000000,1245.000000,1225.400024,1229.550049,1199.809570,391634
2015-12-28,1229.550049,1239.000000,1220.199951,1227.650024,1197.955688,1658317
2015-12-29,1226.550049,1239.900024,1225.599976,1234.300049,1204.444824,1716336
2015-12-30,1240.000000,1244.900024,1230.650024,1233.699951,1203.859253,1443470
2015-12-31,1233.900024,1274.699951,1233.900024,1263.750000,1233.182373,3215917
2016-01-01,1261.000000,1266.900024,1250.650024,1258.449951,1228.010620,676161
2016-01-04,1250.000000,1253.900024,1212.050049,1216.699951,1187.270508,1995329
2016-01-05,1229.900024,1233.449951,1206.500000,1209.400024,1180.146973,2325929
2016-01-06,1209.599976,1220.750000,1202.400024,1209.300049,1180.049438,2746330
2016-01-07,1198.849976,1203.550049,1175.000000,1179.449951,1150.921509,1780298
2016-01-08,1189.849976,1230.000000,1169.000000,1174.400024,1145.993652,2467149
2016-01-11,1165.000000,1171.000000,1150.099976,1161.550049,1133.454468,2288312
2016-01-12,1169.400024,1169.400024,1146.050049,1151.849976,1123.989014,1942208
2016-01-13,1157.000000,1173.650024,1145.349976,1167.650024,1139.406982,1830178
2016-01-14,1154.900024,1167.000000,1147.150024,1159.300049,1131.258911,3250397
2016-01-15,1160.699951,1167.300049,1143.150024,1149.800049,1121.988525,1890878
2016-01-18,1140.000000,1157.699951,1125.099976,1131.800049,1104.424072,2262744
2016-01-19,1132.900024,1157.150024,1130.900024,1153.000000,1125.111328,1418630
2016-01-20,1140.250000,1198.099976,1129.150024,1136.650024,1109.156738,2585069
2016-01-21,1147.050049,1147.699951,1121.150024,1131.099976,1103.740845,5451792
2016-01-22,1140.000000,1163.199951,1135.199951,1158.449951,1130.429321,2741456
2016-01-25,1165.000000,1183.400024,1155.000000,1174.599976,1146.188843,2457396
2016-01-27,1174.599976,1188.449951,1162.000000,1169.949951,1141.651123,2496568
2016-01-28,1150.000000,1159.650024,1138.000000,1147.750000,1119.988281,4077193
2016-01-29,1147.750000,1187.750000,1145.050049,1180.000000,1151.458252,3136336
2016-02-01,1182.400024,1193.949951,1170.599976,1180.050049,1151.506958,2136935
2016-02-02,1177.599976,1192.849976,1166.500000,1179.800049,1151.262939,2338231
2016-02-03,1174.400024,1180.849976,1158.400024,1160.949951,1132.868896,2896768
2016-02-04,1165.250000,1177.000000,1163.300049,1168.349976,1140.089844,1622222
2016-02-05,1169.000000,1186.099976,1169.000000,1182.949951,1154.336792,1168106
2016-02-08,1185.199951,1186.000000,1158.050049,1164.099976,1135.942749,1497068
2016-02-09,1151.099976,1168.650024,1140.300049,1159.900024,1131.844360,1662393
2016-02-10,1155.000000,1156.750000,1110.500000,1116.550049,1089.542847,2964666
2016-02-11,1110.300049,1115.099976,1058.050049,1066.650024,1040.849854,3006630
2016-02-12,1079.000000,1097.099976,1067.199951,1083.750000,1057.536255,3490711
2016-02-15,1093.400024,1102.000000,1076.000000,1080.449951,1054.316040,4217676
2016-02-16,1084.500000,1090.449951,1063.900024,1077.150024,1051.095947,3312107
2016-02-17,1078.000000,1085.400024,1060.150024,1076.300049,1050.266602,2237100
2016-02-18,1086.849976,1086.849976,1062.699951,1069.099976,1043.240601,3891721
2016-02-19,1065.000000,1065.400024,1046.199951,1060.849976,1035.190063,2939450
2016-02-22,1051.000000,1063.750000,1047.849976,1058.400024,1032.799438,3374621
2016-02-23,1062.000000,1062.000000,1040.000000,1051.099976,1025.676025,3253934
2016-02-24,1050.800049,1050.800049,1018.549988,1022.099976,997.377380,4731925
2016-02-25,1022.000000,1049.500000,1011.450012,1042.650024,1017.430237,6122303
2016-02-26,1056.699951,1059.000000,1048.349976,1053.699951,1028.213013,4862409
2016-02-29,1056.000000,1078.500000,1022.049988,1060.300049,1034.653320,5507689
2016-03-01,1072.000000,1073.500000,1046.800049,1069.449951,1043.582031,5690459
2016-03-02,1081.949951,1107.000000,1077.000000,1099.550049,1072.953979,4070235
2016-03-03,1114.699951,1135.800049,1107.050049,1124.150024,1096.958984,2754190
2016-03-04,1128.000000,1134.900024,1105.000000,1129.000000,1101.691650,1624796
2016-03-08,1129.000000,1150.800049,1119.000000,1146.449951,1118.719604,3121092
2016-03-09,1144.000000,1145.000000,1106.000000,1128.650024,1101.350220,3962894
2016-03-10,1134.800049,1157.000000,1123.949951,1153.150024,1125.257690,4555206
2016-03-11,1159.000000,1167.000000,1146.500000,1160.500000,1132.429932,2950536
2016-03-14,1168.000000,1175.000000,1146.750000,1158.699951,1130.673340,1239365
2016-03-15,1144.000000,1148.699951,1109.400024,1111.349976,1084.468628,3897662
2016-03-16,1101.099976,1128.699951,1095.500000,1125.949951,1098.715454,3068113
